Type,Year,Qtr,Adoption,Order_type,Adopter,Adopted_child_sex,Adopted_child_age,Count
Application,2011,1,Adoption,Standard,M/F couple,n/a,n/a,933
Application,2011,1,Adoption,Standard,Other or not stated,n/a,n/a,14
Application,2011,1,Adoption,Standard,Same sex couple,n/a,n/a,51
Application,2011,1,Adoption,Standard,Sole applicant,n/a,n/a,190
Application,2011,1,Adoption,Standard,Step parent,n/a,n/a,138
Application,2011,2,Adoption,Standard,M/F couple,n/a,n/a,783
Application,2011,2,Adoption,Standard,Other or not stated,n/a,n/a,7
Application,2011,2,Adoption,Standard,Same sex couple,n/a,n/a,50
Application,2011,2,Adoption,Standard,Sole applicant,n/a,n/a,152
Application,2011,2,Adoption,Standard,Step parent,n/a,n/a,137
Application,2011,3,Adoption,Standard,M/F couple,n/a,n/a,775
Application,2011,3,Adoption,Standard,Other or not stated,n/a,n/a,3
Application,2011,3,Adoption,Standard,Same sex couple,n/a,n/a,42
Application,2011,3,Adoption,Standard,Sole applicant,n/a,n/a,185
Application,2011,3,Adoption,Standard,Step parent,n/a,n/a,138
Application,2011,4,Adoption,Standard,M/F couple,n/a,n/a,763
Application,2011,4,Adoption,Standard,Other or not stated,n/a,n/a,7
Application,2011,4,Adoption,Standard,Same sex couple,n/a,n/a,61
Application,2011,4,Adoption,Standard,Sole applicant,n/a,n/a,209
Application,2011,4,Adoption,Standard,Step parent,n/a,n/a,128
Application,2012,1,Adoption,Standard,M/F couple,n/a,n/a,960
Application,2012,1,Adoption,Standard,Other or not stated,n/a,n/a,1
Application,2012,1,Adoption,Standard,Same sex couple,n/a,n/a,67
Application,2012,1,Adoption,Standard,Sole applicant,n/a,n/a,248
Application,2012,1,Adoption,Standard,Step parent,n/a,n/a,128
Application,2012,2,Adoption,Standard,M/F couple,n/a,n/a,882
Application,2012,2,Adoption,Standard,Other or not stated,n/a,n/a,0
Application,2012,2,Adoption,Standard,Same sex couple,n/a,n/a,75
Application,2012,2,Adoption,Standard,Sole applicant,n/a,n/a,197
Application,2012,2,Adoption,Standard,Step parent,n/a,n/a,129
Application,2012,3,Adoption,Standard,M/F couple,n/a,n/a,879
Application,2012,3,Adoption,Standard,Other or not stated,n/a,n/a,3
Application,2012,3,Adoption,Standard,Same sex couple,n/a,n/a,70
Application,2012,3,Adoption,Standard,Sole applicant,n/a,n/a,234
Application,2012,3,Adoption,Standard,Step parent,n/a,n/a,121
Application,2012,4,Adoption,Standard,M/F couple,n/a,n/a,1027
Application,2012,4,Adoption,Standard,Other or not stated,n/a,n/a,1
Application,2012,4,Adoption,Standard,Same sex couple,n/a,n/a,92
Application,2012,4,Adoption,Standard,Sole applicant,n/a,n/a,210
Application,2012,4,Adoption,Standard,Step parent,n/a,n/a,90
Application,2013,1,Adoption,Standard,M/F couple,n/a,n/a,1121
Application,2013,1,Adoption,Standard,Other or not stated,n/a,n/a,2
Application,2013,1,Adoption,Standard,Same sex couple,n/a,n/a,117
Application,2013,1,Adoption,Standard,Sole applicant,n/a,n/a,258
Application,2013,1,Adoption,Standard,Step parent,n/a,n/a,104
Application,2013,2,Adoption,Standard,M/F couple,n/a,n/a,1168
Application,2013,2,Adoption,Standard,Other or not stated,n/a,n/a,0
Application,2013,2,Adoption,Standard,Same sex couple,n/a,n/a,100
Application,2013,2,Adoption,Standard,Sole applicant,n/a,n/a,238
Application,2013,2,Adoption,Standard,Step parent,n/a,n/a,123
Application,2013,3,Adoption,Standard,M/F couple,n/a,n/a,1143
Application,2013,3,Adoption,Standard,Other or not stated,n/a,n/a,6
Application,2013,3,Adoption,Standard,Same sex couple,n/a,n/a,107
Application,2013,3,Adoption,Standard,Sole applicant,n/a,n/a,220
Application,2013,3,Adoption,Standard,Step parent,n/a,n/a,96
Application,2013,4,Adoption,Standard,M/F couple,n/a,n/a,1216
Application,2013,4,Adoption,Standard,Other or not stated,n/a,n/a,3
Application,2013,4,Adoption,Standard,Same sex couple,n/a,n/a,103
Application,2013,4,Adoption,Standard,Sole applicant,n/a,n/a,236
Application,2013,4,Adoption,Standard,Step parent,n/a,n/a,109
Application,2014,1,Adoption,Standard,M/F couple,n/a,n/a,1268
Application,2014,1,Adoption,Standard,Other or not stated,n/a,n/a,0
Application,2014,1,Adoption,Standard,Same sex couple,n/a,n/a,163
Application,2014,1,Adoption,Standard,Sole applicant,n/a,n/a,283
Application,2014,1,Adoption,Standard,Step parent,n/a,n/a,103
Application,2014,2,Adoption,Standard,M/F couple,n/a,n/a,1239
Application,2014,2,Adoption,Standard,Other or not stated,n/a,n/a,1
Application,2014,2,Adoption,Standard,Same sex couple,n/a,n/a,136
Application,2014,2,Adoption,Standard,Sole applicant,n/a,n/a,249
Application,2014,2,Adoption,Standard,Step parent,n/a,n/a,98
Application,2014,3,Adoption,Standard,M/F couple,n/a,n/a,1201
Application,2014,3,Adoption,Standard,Other or not stated,n/a,n/a,6
Application,2014,3,Adoption,Standard,Same sex couple,n/a,n/a,146
Application,2014,3,Adoption,Standard,Sole applicant,n/a,n/a,241
Application,2014,3,Adoption,Standard,Step parent,n/a,n/a,102
Application,2014,4,Adoption,Standard,M/F couple,n/a,n/a,1078
Application,2014,4,Adoption,Standard,Other or not stated,n/a,n/a,3
Application,2014,4,Adoption,Standard,Same sex couple,n/a,n/a,138
Application,2014,4,Adoption,Standard,Sole applicant,n/a,n/a,211
Application,2014,4,Adoption,Standard,Step parent,n/a,n/a,102
Application,2015,1,Adoption,Standard,M/F couple,n/a,n/a,1200
Application,2015,1,Adoption,Standard,Other or not stated,n/a,n/a,6
Application,2015,1,Adoption,Standard,Same sex couple,n/a,n/a,144
Application,2015,1,Adoption,Standard,Sole applicant,n/a,n/a,274
Application,2015,1,Adoption,Standard,Step parent,n/a,n/a,104
Application,2015,2,Adoption,Standard,M/F couple,n/a,n/a,960
Application,2015,2,Adoption,Standard,Other or not stated,n/a,n/a,4
Application,2015,2,Adoption,Standard,Same sex couple,n/a,n/a,141
Application,2015,2,Adoption,Standard,Sole applicant,n/a,n/a,247
Application,2015,2,Adoption,Standard,Step parent,n/a,n/a,127
Application,2015,3,Adoption,Standard,M/F couple,n/a,n/a,1029
Application,2015,3,Adoption,Standard,Other or not stated,n/a,n/a,1
Application,2015,3,Adoption,Standard,Same sex couple,n/a,n/a,146
